"regulator","target","score","rank"
"AT2G35730","AT3G60140",0.00165016269830284,1.5
"AT3G60140","AT2G35730",0.00165016269830284,1.5
"AT1G01480","AT3G60140",0.00148504764641137,3.5
"AT3G60140","AT1G01480",0.00148504764641137,3.5
"AT2G35730","AT1G01480",0.00130922267664851,5.5
"AT1G01480","AT2G35730",0.00130922267664851,5.5
"AT5G66780","AT1G43160",0.00123888607899126,7
"AT1G43160","AT5G66780",0.00123888607899126,8
"AT1G01480","AT2G35300",0.00112348300579153,9.5
"AT2G35300","AT1G01480",0.00112348300579153,9.5
"AT2G45570","AT1G43160",0.00110067285298177,11
"AT1G43160","AT2G45570",0.00110067285298177,12
"AT1G01480","AT1G22990",0.00108511170549396,13.5
"AT1G22990","AT1G01480",0.00108511170549396,13.5
"AT1G43160","AT3G60140",0.0010750108031756,15.5
"AT3G60140","AT1G43160",0.0010750108031756,15.5
"AT1G01480","AT5G44310",0.0010740569610867,17.5
"AT5G44310","AT1G01480",0.0010740569610867,17.5
"AT2G35730","AT5G44310",0.00107182080143229,19
"AT5G44310","AT2G35730",0.00107182080143229,20
"AT1G73220","AT4G12410",0.00107029892539027,21
"AT4G12410","AT1G73220",0.00107029892539027,22
"AT5G44310","AT3G60140",0.00106985755759479,23.5
"AT3G60140","AT5G44310",0.00106985755759479,23.5
"AT1G43160","AT2G35300",0.00106878675564876,25.5
"AT2G35300","AT1G43160",0.00106878675564876,25.5
"AT5G66780","AT2G35300",0.0010483951926765,27.5
"AT2G35300","AT5G66780",0.0010483951926765,27.5
"AT2G36750","AT4G12410",0.00102714645375612,29.5
"AT4G12410","AT2G36750",0.00102714645375612,29.5
"AT5G44310","AT2G35300",0.00102435384095329,31
"AT2G35300","AT5G44310",0.00102435384095329,32
"AT2G45570","AT3G60140",0.0010191715216822,33.5
"AT3G60140","AT2G45570",0.0010191715216822,33.5
"AT1G43160","AT3G17520",0.00101139919386902,35.5
"AT3G17520","AT1G43160",0.00101139919386902,35.5
"AT5G52300","AT5G50360",0.00101114911186084,37.5
"AT5G50360","AT5G52300",0.00101114911186084,37.5
"AT2G35300","AT1G22990",0.000996542689731627,39
"AT1G22990","AT2G35300",0.000996542689731627,40
"AT1G73220","AT2G36750",0.000996513481912864,41.5
"AT2G36750","AT1G73220",0.000996513481912864,41.5
"AT2G35300","AT3G57010",0.000994765188358527,43.5
"AT3G57010","AT2G35300",0.000994765188358527,43.5
"AT2G35730","AT2G45570",0.000991395058829286,45.5
"AT2G45570","AT2G35730",0.000991395058829286,45.5
"AT1G43160","AT2G35730",0.000985305118280914,47.5
"AT2G35730","AT1G43160",0.000985305118280914,47.5
"AT5G66780","AT2G45570",0.000984657952747373,49.5
"AT2G45570","AT5G66780",0.000984657952747373,49.5
"AT1G09500","AT3G60140",0.000981242639251748,51.5
"AT3G60140","AT1G09500",0.000981242639251748,51.5
"AT3G60140","AT1G22990",0.000979869275081013,53.5
"AT1G22990","AT3G60140",0.000979869275081013,53.5
"AT4G12410","AT5G52300",0.000973379523826762,55
"AT5G52300","AT4G12410",0.000973379523826762,56
"AT1G43160","AT5G44310",0.000973208685697038,57.5
"AT5G44310","AT1G43160",0.000973208685697038,57.5
"AT3G57010","AT1G52690",0.00096981305925849,59
"AT1G52690","AT3G57010",0.00096981305925849,60
"AT1G73220","AT5G50360",0.000967588721224214,61.5
"AT5G50360","AT1G73220",0.000967588721224214,61.5
"AT3G57010","AT1G22990",0.000959750158721344,63
"AT1G22990","AT3G57010",0.000959750158721344,64
"AT4G12410","AT5G50360",0.000959042063325946,65
"AT5G50360","AT4G12410",0.000959042063325946,66
"AT1G43160","AT1G09500",0.000958361515671199,67.5
"AT1G09500","AT1G43160",0.000958361515671199,67.5
"AT2G35300","AT3G02480",0.000958225880656557,69
"AT3G02480","AT2G35300",0.000958225880656557,70
"AT1G01480","AT2G45570",0.000957559369384432,71
"AT2G45570","AT1G01480",0.000957559369384432,72
"AT5G52300","AT1G52690",0.000956403152610946,73.5
"AT1G52690","AT5G52300",0.000956403152610946,73.5
"AT2G35300","AT2G45570",0.000949780410033245,75.5
"AT2G45570","AT2G35300",0.000949780410033245,75.5
"AT1G01480","AT1G09500",0.000949193086497774,77.5
"AT1G09500","AT1G01480",0.000949193086497774,77.5
"AT1G73220","AT5G52300",0.000947955012872444,79.5
"AT5G52300","AT1G73220",0.000947955012872444,79.5
"AT2G47770","AT5G50360",0.000945862751964723,81
"AT5G50360","AT2G47770",0.000945862751964722,82
"AT1G43160","AT1G01480",0.000944634547590239,83
"AT1G01480","AT1G43160",0.000944634547590239,84
"AT2G35300","AT1G52690",0.000942506279614497,85.5
"AT1G52690","AT2G35300",0.000942506279614497,85.5
"AT5G50360","AT5G59220",0.000942482785373829,87
"AT5G59220","AT5G50360",0.000942482785373829,88
"AT3G53980","AT5G50360",0.000941677484502979,89.5
"AT5G50360","AT3G53980",0.000941677484502979,89.5
"AT5G66780","AT3G17520",0.00094107789868067,91
"AT3G17520","AT5G66780",0.00094107789868067,92
"AT1G52690","AT3G02480",0.000940470149788164,93
"AT3G02480","AT1G52690",0.000940470149788164,94
"AT2G47770","AT5G52300",0.000936428217231996,95
"AT5G52300","AT2G47770",0.000936428217231996,96
"AT5G59220","AT1G73220",0.00093625032930947,97.5
"AT1G73220","AT5G59220",0.00093625032930947,97.5
"AT5G66780","AT3G02480",0.00093478252098614,99
"AT3G02480","AT5G66780",0.00093478252098614,100
